# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-721.616,0.998065,0.0127332,8,255,0,728.945,-1.32794,0.255408,2.12712,-0.52069,-1.02107,-0.420315,0.275129,0.433435,-0.656324,0.508354,6.19421,4.64588,0.997963,0.99049,0.125,0.231813,0.438658,0.169013,0.136224,0.176301,0.233603,0.248318,0.159549,8
-720.971,0.996353,0.0133482,7,191,0,726.74,-1.24384,-0.061518,1.30181,-0.234682,-0.279717,-0.173069,-0.161389,0.872434,-0.391082,0.801843,4.65688,4.99868,0.990593,0.993298,0.125,0.215318,0.450169,0.192785,0.187228,0.20059,0.202096,0.367192,0.174017,8
-719.534,0.999621,0.0139208,7,255,0,723.506,-1.01405,0.0622334,0.859204,-0.390019,-0.614852,-0.651009,-0.0201872,0.131203,-0.436104,0.637864,5.16673,5.26581,0.994329,0.994861,0.125,0.274014,0.385565,0.220487,0.196827,0.193207,0.26368,0.282851,0.215476,8
-723.068,0.996009,0.0146237,7,127,0,729.248,-0.924684,-0.0899011,0.713055,-0.867101,-1.04868,-0.57989,-0.383632,0.220679,-0.0811566,1.22569,6.37774,4.39944,0.998304,0.987865,0.125,0.26214,0.487327,0.120524,0.0988523,0.163085,0.198627,0.342043,0.264218,8
-725.477,0.999804,0.0152124,7,127,0,731.194,-0.91201,-0.329989,1.17976,-0.858949,-1.67509,-1.01795,-0.314108,0.141484,-0.749404,0.510028,7.51004,5.86734,0.999453,0.997178,0.125,0.253447,0.423042,0.205854,0.145996,0.192913,0.254982,0.301567,0.215138,8
-724.194,0.996076,0.0159595,7,127,0,731.996,-0.993616,0.251416,1.58895,-1.4377,-0.424199,-0.356677,-0.554375,0.150469,-0.298091,0.319029,6.2864,4.68315,0.998142,0.990835,0.125,0.286303,0.380673,0.18965,0.244355,0.248355,0.236769,0.279768,0.25186,8
-725.061,0.999519,0.0165781,7,127,0,731.433,-0.999764,-0.355094,1.0126,-1.61549,-0.092346,-0.909693,-0.324312,-0.717021,0.260512,0.584113,6.14282,5.26791,0.997856,0.994872,0.125,0.2302,0.399322,0.125275,0.258514,0.177829,0.233402,0.194883,0.299937,8
-727.246,0.998651,0.017351,7,127,0,735.357,-1.36069,0.491825,2.14014,0.587936,-0.735802,0.136444,0.77163,1.2479,-0.630045,0.323717,6.76112,5.38172,0.998843,0.995421,0.125,0.231212,0.338969,0.236789,0.168138,0.211398,0.247703,0.277535,0.172981,8
-726.037,0.999859,0.0181072,7,127,0,731.079,-1.44379,0.861405,2.36029,0.0838679,0.39563,-0.158857,0.404051,1.1758,-1.18022,0.578077,6.16539,5.42316,0.997904,0.995606,0.125,0.279723,0.48017,0.198561,0.228802,0.177172,0.229662,0.317759,0.10659,8
-727.326,0.990214,0.0189356,7,127,0,734.775,-1.12984,-0.790486,2.97183,-0.355893,0.135029,-0.805116,-0.577475,0.556506,0.106576,0.256539,3.7758,5.09811,0.977595,0.993929,0.125,0.208725,0.409159,0.227736,0.250641,0.208106,0.217894,0.271491,0.249273,8
