# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-727.437,0.996728,0.0335829,6,63,0,732.806,-1.35043,-0.782409,0.0114871,-0.651613,0.168938,1.06047,1.71821,0.286174,5.23273,5.61408,0.994689,0.996367,0.166667,0.171599,0.206338,0.176985,0.213814,0.259811,0.297606,6
-726.835,0.999449,0.0344921,6,63,0,732.792,-1.379,-0.28938,-0.170063,-1.66921,0.761452,0.666942,1.51652,0.312946,5.36441,4.74503,0.995342,0.99138,0.166667,0.18701,0.192753,0.129953,0.242191,0.236804,0.288145,6
-729.236,0.947077,0.0356145,6,127,0,732.264,-1.09233,-0.818399,-0.446269,0.0833713,-1.20855,-0.634027,1.63098,0.303941,4.83399,5.28283,0.992108,0.994948,0.166667,0.207334,0.226537,0.255976,0.18852,0.216695,0.355121,6
-729.02,0.99479,0.0329221,6,127,0,732.341,-1.33007,-0.708833,-0.180976,-0.903574,0.69276,0.123106,0.810438,0.228003,4.40843,4.62999,0.987972,0.990339,0.166667,0.183668,0.202404,0.177104,0.236472,0.213828,0.24135,6
-729.433,0.999856,0.0336507,6,63,0,730.739,-1.16598,0.233186,-0.454966,-0.57629,-0.807615,-0.641114,0.174522,0.302968,6.40323,5.4576,0.998347,0.995754,0.166667,0.250616,0.213523,0.207416,0.19613,0.204206,0.247293,6
-728.778,0.996852,0.0347467,6,63,0,733.36,-1.22454,-1.07701,-1.18934,-1.34849,0.204372,0.0272388,1.57547,0.179169,4.01052,5.33883,0.982199,0.995221,0.166667,0.195053,0.191912,0.187529,0.233631,0.227996,0.280443,6
-728.019,0.954169,0.035639,6,63,0,735.975,-1.31326,-1.04897,-0.865987,-0.305777,-0.53079,0.0673483,2.08089,0.214254,5.92834,4.60894,0.997344,0.990136,0.166667,0.176826,0.182605,0.201206,0.193569,0.214362,0.295792,6
-729.525,0.965169,0.0334655,6,63,0,734.898,-1.40137,-1.13888,-0.737402,-0.276493,-0.453249,0.175674,2.09113,0.221309,5.95004,4.57673,0.997401,0.989816,0.166667,0.160648,0.172993,0.188076,0.182176,0.203836,0.281187,6
-728.026,0.998601,0.0321572,6,127,0,733.868,-1.21166,0.552094,-1.75113,-0.326354,-0.569654,-0.408017,1.44713,0.179081,5.1714,5.53299,0.994355,0.996061,0.166667,0.247351,0.178689,0.219239,0.211873,0.216746,0.278381,6
-730.586,0.974298,0.0330873,6,63,0,734.256,-1.18039,-1.75654,-0.0364328,-0.693166,0.551324,-1.46645,0.907868,0.141183,4.7034,4.62765,0.991017,0.990317,0.166667,0.193351,0.23406,0.217848,0.249263,0.199819,0.258801,6
-727.439,0.923917,0.032394,6,63,0,735.918,-1.30304,0.151534,-0.786427,1.0192,-0.545036,0.0412982,1.48158,0.263525,5.53546,5.54019,0.996071,0.99609,0.166667,0.220439,0.180897,0.262221,0.190514,0.215488,0.286467,6
-728.572,0.999167,0.0286526,6,63,0,730.118,-1.26331,0.136094,-0.311791,0.910903,-0.0815283,0.289139,0.879728,0.172376,5.89622,5.33854,0.997258,0.99522,0.166667,0.224462,0.211308,0.248562,0.217999,0.229087,0.24756,6
-726.46,0.991412,0.0295076,6,127,0,731.899,-1.16189,-0.0962059,-0.59707,-0.371731,-0.663181,-0.8192,1.05298,0.193316,4.23704,4.91373,0.985756,0.992708,0.166667,0.234965,0.218008,0.225526,0.215838,0.210776,0.277213,6
-727.422,0.999381,0.0299085,6,127,0,733.015,-1.22891,-0.0164362,-0.653732,-0.0768574,0.0353401,-0.924836,1.75794,0.28722,5.9138,4.89822,0.997305,0.992595,0.166667,0.225546,0.195183,0.222529,0.228154,0.18324,0.326513,6
-727.474,0.976968,0.0307908,6,63,0,735.381,-1.02588,-0.103007,-0.0760588,0.127732,-0.716589,-0.542833,0.401365,0.350663,5.54133,4.73057,0.996094,0.991256,0.166667,0.256926,0.258735,0.272675,0.218033,0.2286,0.292114,6
-727.421,0.998668,0.0303122,6,63,0,732.094,-1.11248,-0.484901,-0.700403,-1.33836,-1.1306,-0.235369,1.58772,0.168836,4.98929,5.59206,0.993236,0.996286,0.166667,0.232483,0.226054,0.207767,0.2136,0.240085,0.300606,6
