# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-210.638,0.91353,0.0655624,6,63,0,215.07,-0.113751,0.539827,-0.307168,0.996993,0.179366,0.636008,-0.370118,-0.284917,-1.24882,0.376446,8,0.125,0.522351,0.442904,0.565021,0.488445,0.531377,0.437065,0.444972,0.358044,8
-211.991,0.985596,0.0562911,6,63,0,214.74,-0.0882568,0.0495452,0.494838,-1.46022,-0.135504,0.0135541,-1.08682,-0.230053,0.98466,0.108937,8,0.125,0.479297,0.491413,0.438481,0.474268,0.478319,0.44852,0.471701,0.504752,8
-208.235,0.999919,0.0562786,6,63,0,215.849,-0.324175,1.28235,0.223831,1.2945,0.367068,-0.0663551,-0.859971,-0.628604,-1.02273,0.248175,8,0.125,0.498518,0.433244,0.499272,0.441993,0.415653,0.368746,0.38221,0.359395,8
-208.785,0.981768,0.0579605,6,63,0,212.025,-0.253072,-1.13238,0.589974,-0.89547,-0.426308,-0.291034,-0.350685,-0.227076,0.0230185,0.198879,8,0.125,0.382659,0.466117,0.393849,0.416331,0.422882,0.41999,0.42599,0.438194,8
-208.194,0.997403,0.0574668,6,63,0,212.951,-0.511289,1.51537,-0.0244108,1.16711,-0.774322,0.0404914,-0.623622,-0.0153179,-0.10246,0.384016,8,0.125,0.517652,0.372697,0.48423,0.30818,0.378542,0.320654,0.373514,0.365717,8
-209.318,0.999564,0.058839,6,63,0,212.953,-0.531505,-1.0284,0.31599,-1.33273,0.658904,-0.213957,-0.276162,-0.199234,0.0894092,0.119243,8,0.125,0.342058,0.378993,0.333939,0.388663,0.364238,0.362522,0.364644,0.372655,8
-213.523,0.997529,0.0604888,6,63,0,218.51,-0.577934,-2.85187,0.552205,0.271775,0.799842,0.27298,0.481263,0.320773,0.374627,0.0706544,8,0.125,0.314442,0.368439,0.363841,0.37252,0.363861,0.367274,0.364643,0.365525,8
-213.165,0.996397,0.0619026,6,63,0,217.607,-0.351347,-2.50008,0.926168,-0.108132,1.19061,0.254551,0.657247,0.297023,-0.280243,0.0549707,8,0.125,0.380182,0.425451,0.411616,0.429008,0.416452,0.421842,0.41702,0.409326,8
-212.463,0.990371,0.0631818,5,31,0,216.463,-0.299036,-1.60048,0.278084,0.663918,1.40936,0.170746,-0.140914,0.370907,-0.926571,0.0192039,8,0.125,0.418296,0.427099,0.428913,0.432423,0.426595,0.425132,0.427536,0.421449,8
-210.891,0.999621,0.0636878,6,63,0,213.982,-0.472423,-1.05364,0.02316,0.64881,0.595753,0.205823,0.339164,-0.185205,-0.733338,0.00720988,8,0.125,0.382248,0.384082,0.38515,0.38506,0.384394,0.384622,0.383727,0.382793,8
