# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-208.396,0.998027,0.0546331,6,63,0,214.511,-0.517179,-0.129146,0.855203,0.154394,1.13373,-0.152558,0.0561297,-0.436537,-1.20278,-1.53472,-0.0455664,-0.0653824,0.515154,-0.386846,1.67125,0.994789,1.27565,-0.751357,0.654782,-2.32466,-4.50741,-0.874271,0.61094,0.125073,1.19766,-0.473218,0.774609,-0.54476,-1.39755,-0.458443
-209.348,0.955448,0.0565775,6,63,0,213.76,-0.0223298,1.26473,-0.633802,-0.72471,0.0203055,-1.15009,-1.48998,-0.82322,-0.61437,-1.16334,-1.61264,0.178181,0.271012,0.0041212,1.31542,-1.13754,0.382937,-0.689904,-1.53379,0.34581,9.60477,2.01324,-0.660343,-0.447786,0.17278,-1.29105,-0.2522,-0.315405,-0.362471,-2.17663
-212.147,0.997378,0.0527756,6,63,0,215.377,-0.18736,-1.25269,-0.927717,0.276331,-0.462992,1.73443,-1.33343,-1.4213,-0.145097,-1.91042,0.363197,1.27008,-0.786513,-0.677234,0.156695,-1.3483,-1.07054,-0.530338,-0.525514,0.301081,9.9082,-1.60726,-1.08427,0.47499,-0.417236,2.09719,-0.182903,-1.29547,-0.023169,-1.33038
-211.432,0.986716,0.0545356,6,63,0,216.571,-0.643098,-0.993248,-0.74163,0.442701,0.068456,-0.33514,0.445875,0.867045,0.984301,-3.29293,-0.347698,-1.68236,-1.26034,0.377423,-0.445805,1.68395,-0.930028,-1.25634,0.0442066,0.339937,-13.7803,-1.15138,-0.895506,0.415543,0.0697696,-0.413692,0.408208,0.848476,0.968962,-0.725273
-212.697,0.943264,0.0548927,6,63,0,220.046,-0.058581,1.71789,-0.151194,-0.346887,1.15512,0.0839836,-0.939577,-1.85939,0.292443,-1.48982,1.7462,0.0218569,1.74894,-0.286304,-1.32419,0.551958,-0.40996,0.758904,-1.78531,1.58719,20.9032,2.19514,0.101345,-0.0345826,1.30182,0.476723,1.78485,-1.78379,0.635939,-2.49872
-208.954,1,0.049791,6,63,0,215.46,-0.545573,1.58186,-0.239053,-0.188196,0.886867,0.0404246,-0.177229,-1.12081,0.666365,-0.927875,-1.6712,0.698684,-0.201556,-0.44342,0.816502,-0.0159724,-1.91091,-2.07322,-0.580691,-0.735726,-8.34145,1.78705,-1.77374,-0.466501,1.02695,-0.498919,-0.426466,-2.17992,0.899337,1.62813
-208.374,0.996198,0.0517312,6,63,0,211.717,-0.592468,0.210531,1.55758,0.416137,-0.719456,0.773872,-0.374694,0.782561,0.329242,-1.4163,0.862329,-1.35946,0.180759,0.180033,-1.02942,-0.0256351,0.630701,1.20002,-0.858649,-0.626865,-7.179,-0.622963,1.55012,0.375303,-0.731253,0.629437,-1.10158,0.981137,0.297611,-0.647424
-209.368,0.999933,0.0532309,6,63,0,211.803,-0.476222,-0.157164,0.289225,0.0831204,0.625305,0.95468,-1.46585,0.577147,0.135896,-2.9992,-0.754106,0.0118792,1.47364,0.429255,-0.723855,0.735524,-0.144479,0.850305,0.340074,0.146283,-4.26562,-0.310946,0.174082,0.0788468,0.633856,0.917591,-1.37937,0.603507,0.135981,-1.10126
-207.322,0.937442,0.0552247,6,63,0,213.352,-0.520189,0.62688,0.00210415,-0.0758251,-0.24382,-0.552633,-0.00493936,-0.680992,-0.196337,-0.33485,-1.96848,1.50276,-0.651368,-1.46502,-1.08252,0.631205,-1.15077,0.588819,-0.325672,-0.097151,-8.58353,0.293632,-2.01539,-0.445108,-0.244527,-3.10505,1.89616,-2.66836,-0.605791,2.3654
-209.011,0.999551,0.0495096,5,63,0,212.011,-0.398385,0.30577,1.12462,0.788206,0.0677733,0.678116,0.193393,-0.680611,-0.0192117,-2.89661,-0.237209,-0.29382,0.638788,0.387129,0.277829,1.02745,-0.689771,0.575714,0.225771,-1.81901,4.77644,0.170498,1.0603,0.811375,0.079246,0.660393,0.616399,-0.64732,-0.00713208,-0.992552
