# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
406.157,0.992727,0.0762452,6,63,0,-403.874,0.754142,-0.0851984,-1.74233,-63.317,-16.5532,-42.2731,-87.7282,-25.5294,6.94792
407.095,0.998165,0.140495,5,63,0,-402.785,0.819668,-0.169445,-1.79313,-52.9524,76.3423,25.1133,38.0295,15.8348,-23.2627
405.539,0.994655,0.260756,4,31,0,-404.311,0.75426,-0.0723624,-1.70994,41.43,-27.0217,-24.7198,1.525,35.0503,26.7806
407.146,0.68811,0.474368,4,15,0,-404.414,0.81117,-0.166735,-1.79127,-80.8318,23.0934,-30.4331,-41.5248,-33.7766,-22.0821
406.9,0.793188,0.347954,3,15,0,-405.579,0.819917,-0.178562,-1.71764,-40.0263,-24.0138,-31.8576,-22.9281,-26.7909,25.4652
406.714,0.94901,0.348321,4,15,0,-406.229,0.83314,-0.183131,-1.78905,-32.2602,4.44115,-17.6009,92.7418,44.0084,-21.1455
404.794,0.627499,0.54645,3,7,0,-403.677,0.837924,-0.200684,-1.67211,-22.3468,-10.769,41.6558,15.2734,-10.6377,51.1742
407.2,0.961621,0.339563,4,15,0,-404.449,0.820149,-0.167068,-1.73233,47.4866,-9.79371,62.2809,55.5215,28.4944,16.5052
406.006,0.230115,0.548174,3,7,0,-405.095,0.800025,-0.145546,-1.68661,53.4723,9.17266,3.49383,-9.01781,-3.78312,43.5442
405.087,0.978059,0.112493,4,15,0,-403.979,0.801295,-0.163368,-1.67969,-27.3403,-32.2983,-24.812,-104.245,-72.1834,46.2287
406.752,0.992589,0.190381,4,19,0,-403.954,0.781233,-0.132433,-1.76946,40.3196,-0.408852,66.5722,-128.827,-72.9428,-9.13675
405.258,0.713078,0.33246,2,7,0,-403.63,0.798168,-0.113379,-1.72155,42.3873,21.0964,40.3556,181.555,133.127,19.2828
404.456,0.956263,0.267541,2,3,0,-404.26,0.799311,-0.109722,-1.71926,-21.8137,-8.29343,5.65053,216.247,156.877,19.1859
405.748,0.865469,0.418259,3,11,0,-403.118,0.828151,-0.209645,-1.74774,35.4946,58.4769,28.0632,-150.755,-123.659,3.72102
406.552,0.473912,0.508274,3,11,0,-404.274,0.807525,-0.174419,-1.73395,86.1867,-2.58554,-9.04314,-125.982,-91.1819,13.9621
406.021,0.967378,0.216275,3,15,0,-404.484,0.812697,-0.144174,-1.80276,46.2503,12.2837,39.5072,149.584,100.431,-31.7928
404.8,0.792044,0.345045,4,15,0,-403.3,0.862225,-0.220479,-1.70452,-60.7449,-22.2055,15.5921,130.517,53.7254,30.5392
404.508,0.94129,0.344571,4,15,0,-403.484,0.755615,-0.0560248,-1.77124,14.5215,-0.855902,42.9108,134.419,133.212,-15.1458
404.349,0.921175,0.50787,3,7,0,-403.565,0.745026,-0.0867947,-1.7846,-19.5277,29.8578,19.0659,-213.585,-103.937,-24.2802
404.349,0.000225795,0.706267,2,5,0,-402.5,0.745026,-0.0867947,-1.7846,-24.1895,20.7139,52.6081,-213.585,-103.937,-24.2802
405.99,0.998788,0.0917593,4,15,0,-403.695,0.752234,-0.0787944,-1.77532,-60.1374,-32.7583,-34.7811,-69.1367,-8.07759,-14.8724
406.587,0.976628,0.156748,5,31,0,-403.322,0.82969,-0.17772,-1.79743,76.8885,-23.653,47.7428,94.3888,47.681,-26.9081
405.47,0.845808,0.251109,5,31,0,-404.324,0.847179,-0.189216,-1.76241,35.7475,13.8054,35.559,200.807,110.87,-6.06137
404.825,0.994436,0.287591,4,19,0,-404.374,0.752216,-0.0998897,-1.73455,17.2188,17.1457,19.732,-205.277,-108.093,9.32282
405.973,0.975293,0.476078,3,7,0,-404.258,0.794442,-0.162086,-1.75344,55.5246,-18.1216,-34.2652,-187.719,-125.143,-0.0762161
406.751,0.333333,0.746096,1,3,0,-405.44,0.831218,-0.174588,-1.7486,35.6046,-41.3521,4.28204,124.524,69.1463,5.20808
404.106,0.986675,0.23996,4,19,0,-403.9,0.882318,-0.248056,-1.75644,-21.2096,10.8286,3.63287,170.295,63.5092,-4.24045
405.056,0.592112,0.386,2,3,0,-402.515,0.866352,-0.253036,-1.76739,86.3732,21.8702,9.11381,-40.7811,-75.0815,-9.76141
404.387,0.834594,0.237156,4,23,0,-402.137,0.792704,-0.0998975,-1.72293,49.1418,-51.4919,13.6495,214.607,160.368,16.5559
405.759,0.989424,0.262842,2,7,0,-403.81,0.764704,-0.112095,-1.72382,-76.1121,-18.552,-6.77302,-152.863,-80.5272,18.3377
407.208,0.798073,0.421061,4,15,0,-405.2,0.810118,-0.161762,-1.7926,76.6273,6.26873,20.662,-16.4829,-15.1929,-22.8422
407.417,0.770341,0.425594,3,11,0,-406.414,0.803446,-0.142498,-1.77406,6.47663,33.4466,27.2854,48.8423,36.1345,-10.4714
407.417,6.79246e-21,0.402869,1,1,0,-402.312,0.803446,-0.142498,-1.77406,-66.0135,-31.7153,-14.3787,48.8423,36.1345,-10.4714
407.417,1.55419e-31,0.940726,1,3,1,-407.21,0.803446,-0.142498,-1.77406,-12.875,-2.83289,10.0324,48.8423,36.1345,-10.4714
407.507,0.985368,0.0927549,3,15,0,-406.443,0.80759,-0.148615,-1.75923,-8.19332,-15.5572,28.8383,50.099,33.7316,-0.583651
407.448,0.999906,0.0929105,4,31,0,-407.328,0.807462,-0.149755,-1.74087,-5.53908,-3.63629,-10.2535,39.4409,26.1334,11.2441
407.499,0.999272,0.12528,5,31,0,-407.209,0.795723,-0.139238,-1.77353,19.2791,-2.47956,-2.92977,-15.0806,-3.25225,-10.0788
406.542,0.82128,0.195136,2,7,0,-404.791,0.786043,-0.136136,-1.79819,9.6179,18.0271,-39.5765,-107.845,-60.5544,-28.18
